Título,Rating,Porciones,Tiempo total,Ingredientes,Descripción,Pasos,Nutrición
Jen's Heavenly Egg Salad,4.5,4,20 mins,"['6 eggs', '¼ cup mayonnaise', '¼ cup chopped green onions', '½ lemon, juiced', '1 teaspoon Dijon mustard', '½ teaspoon prepared yellow mustard', 'salt and ground black pepper to taste']","The tang from Dijon mustard, freshness from lemon, and liveliness from watercress make Jen's heavenly egg salad a must! This recipe tastes best when paired with wheat bread, watercress, and avocado, but I can eat it alone.","['Place eggs in a saucepan and cover with water. Bring to a boil, remove from heat, cover, and let eggs stand in hot water for 10 to 12 minutes. Remove eggs from hot water, cool under cold running water, and peel.', 'Combine mayonnaise, green onions, lemon juice, Dijon mustard, and yellow mustard in a large bowl until well combined.', 'Chop eggs into big chunks; add to the bowl with dressing. Gently stir until evenly combined; season with salt and black pepper.']","{'Calories': '212', 'Fat': '18g', 'Carbs': '3g', 'Protein': '10g'}"
Curried Egg Sandwiches,4.3,4,15 mins,"['4  hard-cooked eggs, peeled and chopped', '½ cup mayonnaise', '1 teaspoon curry powder', 'salt and pepper to taste', '8 slices bread']",Delicious curried egg salad sandwiches guaranteed to fill you up.,"['Gather your ingredients.', 'Mix together mayonnaise and curry powder in a bowl. Gently stir in eggs, then season to taste with salt and pepper.', 'Evenly divide between 4 slices of bread, top with remaining 4 slices.']","{'Calories': '410', 'Fat': '29g', 'Carbs': '27g', 'Protein': '10g'}"
Cheeseburger Egg Rolls,4.7,15,50 mins,"['1 pound ground beef', '1  onion, chopped', '1 cup chopped dill pickles or sweet pickles', '1 cup shredded Cheddar cheese', '1 tablespoon prepared yellow mustard, or to taste', '1 (16 ounce) package egg roll wrappers', '1 cup vegetable oil for frying']","I had something similar at a restaurant, threw these together at home, and they were pretty good! As a dipping sauce, use mayo and catsup mixed together.","['Place the ground beef and onion in a skillet over medium heat, and cook and stir for about 10 minutes, breaking up the beef into crumbles as it cooks. Drain the meat and transfer to a bowl. Stir in the chopped pickles, shredded cheese, and mustard, and mix together well.', 'Line a baking sheet with parchment paper. Place a bowl of water next to your work surface. Remove an egg roll wrapper from the stack, and cover the remaining wrappers with a damp paper towel to prevent them from drying out.', 'Place the wrapper on the work surface with a corner facing towards you. Place about 1/4 cup of filling on the wrapper, and fold the top corner down over the filling. Tightly roll the wrapper into a cylinder, tucking in the corners as you roll, until the wrapper completely encloses the filling. Moisten the last corner with a little water, and finish wrapping so the moistened corner tightly seals to the egg roll, and there are no gaps to let the filling leak out. Place filled egg rolls on the parchment-lined baking sheet, covered with a slightly damp paper towel, while you finish making the egg rolls.', 'Heat the oil in a deep saucepan or deep fryer until a thermometer registers 365 degrees F (185 degrees C). Carefully place 2 or 3 egg rolls at a time into the hot oil, and fry for about 4 or 5 minutes, turning the egg rolls over once, until golden brown. Remove the egg rolls with a tongs, and drain on paper towels.']","{'Calories': '189', 'Fat': '8g', 'Carbs': '19g', 'Protein': '10g'}"
Egg Free Chocolate Chip Pumpkin Cookies,4.6,48,,"['2 cups white sugar', '1 cup shortening', '1 (15 ounce) can pumpkin puree', '2 teaspoons vanilla extract', '4 cups all-purpose flour', '2 teaspoons baking soda', '2 teaspoons ground cinnamon', '12 ounces semisweet chocolate chips']",This is a wonderful recipe when there are no eggs in the house and you have to make cookies. They are a very moist cookie and freeze well.,"['Preheat oven to 375 degrees F (190 degrees C).', 'Cream the sugar, shortening, pumpkin and vanilla together. Mix until light and well combined.', 'Mix the flour, baking soda and ground cinnamon. Stir the flour mixture into the creamed mixture. Mix until combined. Stir in the chocolate chips.', 'Drop by teaspoons onto an ungreased baking sheet. Bake at 375 degrees F (190 degrees C) for 12 to 15 minutes or until set. Let cookies cool on a rack.']","{'Calories': '146', 'Fat': '7g', 'Carbs': '22g', 'Protein': '2g'}"
Egg-Free Low-Fat Oatmeal Cookies,3.8,24,25 mins,"['¾ cup applesauce', '¼ cup packed brown sugar', '¼ cup white sugar', '1 cup all-purpose flour', '1 teaspoon baking powder', '½ teaspoon salt', '½ teaspoon ground cinnamon', '1 cup rolled oats', '½ cup raisins', '½ cup chopped walnuts (Optional)']",These low-fat oatmeal cookies made with applesauce are delicious and moist.,"['Preheat the oven to 350 degrees F ( 175 degrees C ). Lightly grease cookie sheets.', 'Stir applesauce, brown sugar, and white sugar together in a bowl. Sift flour, baking powder, salt, and cinnamon into a separate bowl; stir into applesauce mixture. Add rolled oats, raisins, and chopped nuts, if desired. Stir until combined. Drop spoonfuls of dough 2 inches apart onto the prepared baking sheets.', 'Bake in the preheated oven until edges are golden, about 10 minutes. Allow cookies to cool slightly before removing from the baking sheet.']","{'Calories': '77', 'Fat': '2g', 'Carbs': '14g', 'Protein': '2g'}"
Egg Drop Soup (Better than Restaurant Quality!),4.6,1,15 mins,"['1 cup chicken broth', '¼ teaspoon soy sauce', '¼ teaspoon sesame oil', '2 teaspoons water (Optional)', '1 teaspoon cornstarch (Optional)', '1 large egg, beaten', '1 drop yellow food coloring (Optional)', '½ teaspoon ground white pepper (Optional)', '⅛ teaspoon salt (Optional)', '1 teaspoon chopped fresh chives']","Egg drop soup is a favorite of mine. After many trips to different Chinese restaurants to enjoy it, I decided to create the ultimate egg drop soup recipe at home. Sesame oil is the key! I hope you like it as much as I do.","['Gather all ingredients.', 'Combine chicken broth, soy sauce, and sesame oil in a small saucepan over medium heat; bring to a boil.', 'Stir water and cornstarch together in a small bowl until cornstarch is dissolved; pour into boiling broth. Stir in food coloring.', 'Slowly pour in beaten egg, stirring constantly; season with white pepper and salt.', 'Serve hot, garnished with fresh chives. Enjoy!']","{'Calories': '97', 'Fat': '6g', 'Carbs': '2g', 'Protein': '8g'}"
Easy Egg Noodles,4.7,7,40 mins,"['2 ½ cups all-purpose flour', '1 pinch salt', '2 large eggs, beaten', '½ cup milk', '1 tablespoon butter']","These egg noodles are the old-fashioned type, just like Grammy used to make! Try them next time you prepare your favorite soup or stew. Don't forget that fresh pasta cooks much quicker than dried! You may use a dough hook attachment on your electric mixer or your hands to knead the pasta dough.","['Gather all ingredients.', 'Stir flour and salt together in a large bowl. Add eggs, milk, and butter.', 'Knead dough until smooth, about 5 minutes. Let rest in a covered bowl for 10 minutes.', 'On a floured surface, roll dough out to a thickness of 1/8 to 1/4 inch. Cut into desired lengths and shapes.', 'Allow to air-dry before cooking, 10 to 15 minutes.', 'Cook noodles in a large pot of salted boiling water until al dente, about 5 minutes.', 'Serve and enjoy!']","{'Calories': '206', 'Fat': '4g', 'Carbs': '35g', 'Protein': '7g'}"
Bacon and Egg Breakfast Tarts,4.4,4,45 mins,"['1 (11 ounce) package pie crust mix', '2 tablespoons cold water', '2 teaspoons cold water', '1 (6 ounce) package Canadian-style bacon', '1 cup shredded Cheddar cheese', '4 large eggs', '¼ cup milk', '¼ teaspoon ground nutmeg', '¼ teaspoon ground black pepper']",These breakfast tarts are perfect for brunch but also convenient enough for serving on a weekday.,"['Preheat the oven to 425 degrees F (220 degrees C).', 'Stir together 1 1/3 cups pie crust mix and 2 tablespoons plus 2 teaspoons cold water in a large bowl until pastry forms a ball; save remaining pie crust mix for another use. Divide pastry ball into 4 equal pieces.', 'Roll each piece into a 6-inch circle on a floured surface. Drape each circle over inverted large 3x1 1/2-inch muffin cups or 6-ounce custard cups; make pleats, so pastry fits snugly against the cup. Prick surface using a fork. Place on an ungreased cookie sheet.', 'Bake in the preheated oven until light brown, 8 to 10 minutes. Cool for 5 minutes, then carefully remove tart shells from cups. Reduce oven temperature to 350 degrees F (175 degrees C).', 'Place 2 bacon slices into the bottom of each tart shell. Sprinkle with Cheddar cheese, making a small well in each. Break 1 egg into each well and add 1 tablespoon milk into each tart. Sprinkle with nutmeg and pepper. Place filled tarts on the same ungreased cookie sheet.', 'Bake in the preheated oven until eggs are soft-cooked, 15 to 20 minutes.']","{'Calories': '660', 'Fat': '42g', 'Carbs': '43g', 'Protein': '28g'}"
Egg Custard Pie,4.7,8,1 hr,"['1 (9 inch) unbaked pie crust', '1 cup white sugar', '1 cup milk', '¼ cup butter, melted', '2 tablespoons all-purpose flour', '1 teaspoon vanilla extract', '½ teaspoon ground nutmeg', '3 large eggs']","This delicious egg custard pie is great served cold or warm with whipped cream and a dash of nutmeg. I'm 78, and this was my grandmother's pie.","['Preheat the oven to 400 degrees F (205 degrees C).', 'Bake pie crust in the preheated oven until partially baked, about 5 minutes. Set aside.', 'Adjust oven temperature to 325 degrees F (165 degrees C).', 'Combine sugar, milk, melted butter, flour, vanilla, and nutmeg in a large bowl; mix well. Beat in eggs until well blended. Pour filling into partially baked pie shell.', 'Bake in the preheated oven until a knife inserted in the center comes out clean and custard is set, 45 to 55 minutes.']","{'Calories': '313', 'Fat': '16g', 'Carbs': '39g', 'Protein': '5g'}"
Grandma's Egg Custard Pie,4.4,8,45 mins,"['3 large eggs, beaten', '¾ cup white sugar', '1 teaspoon vanilla extract', '¼ teaspoon salt', '2 ½ cups scalded milk', '3 drops yellow food coloring (Optional)', '1 (9 inch) frozen pie crust, thawed', '1 large egg white, beaten', '¼ teaspoon ground nutmeg']",This custard pie recipe is the 1999 American Pie Council's National Pie Championship's first place winner in the Custard Pie category.,"['Preheat the oven to 400 degrees F (205 degrees C).', 'Mix together eggs, sugar, vanilla, and salt in a large bowl; stir well. Blend in scalded milk. Stir in 3 drops yellow food coloring for more color.', 'Brush the bottom and sides of pie crust with beaten egg white to help prevent a soggy crust. Pour custard mixture into pie crust. Sprinkle with nutmeg.', 'Bake in the preheated oven until a knife inserted near the center comes out clean, 30 to 35 minutes. Cool on a wire rack.']","{'Calories': '252', 'Fat': '11g', 'Carbs': '33g', 'Protein': '6g'}"
